TERM,MEANING
G4750,"Parasomnia, unspecified"
G4751,Confusional arousals
G4752,REM sleep behavior disorder
G4753,Recurrent isolated sleep paralysis
G4754,Parasomnia in conditions classified elsewhere
G4759,Other parasomnia
G4761,Periodic limb movement disorder
G4762,Sleep related leg cramps
G4763,Sleep related bruxism
G4769,Other sleep related movement disorders
G478,Other sleep disorders
G479,"Sleep disorder, unspecified"
G500,Trigeminal neuralgia
G501,Atypical facial pain
G508,Other disorders of trigeminal nerve
G509,"Disorder of trigeminal nerve, unspecified"
G510,Bell's palsy
G511,Geniculate ganglionitis
G512,Melkersson's syndrome
G513,Clonic hemifacial spasm
G514,Facial myokymia
G518,Other disorders of facial nerve
G519,"Disorder of facial nerve, unspecified"
G520,Disorders of olfactory nerve
G521,Disorders of glossopharyngeal nerve
G522,Disorders of vagus nerve
G523,Disorders of hypoglossal nerve
G527,Disorders of multiple cranial nerves
G528,Disorders of other specified cranial nerves
G529,"Cranial nerve disorder, unspecified"
G53,Cranial nerve disorders in diseases classified elsewhere
G540,Brachial plexus disorders
G541,Lumbosacral plexus disorders
G542,"Cervical root disorders, not elsewhere classified"
G543,"Thoracic root disorders, not elsewhere classified"
G544,"Lumbosacral root disorders, not elsewhere classified"
G545,Neuralgic amyotrophy
G546,Phantom limb syndrome with pain
G547,Phantom limb syndrome without pain
G548,Other nerve root and plexus disorders
G549,"Nerve root and plexus disorder, unspecified"
G55,Nerve root and plexus compressions in diseases classd elswhr
G5600,"Carpal tunnel syndrome, unspecified upper limb"
G5601,"Carpal tunnel syndrome, right upper limb"
G5602,"Carpal tunnel syndrome, left upper limb"
G5603,"Carpal tunnel syndrome, bilateral upper limbs"
G5610,"Other lesions of median nerve, unspecified upper limb"
G5611,"Other lesions of median nerve, right upper limb"
G5612,"Other lesions of median nerve, left upper limb"
G5613,"Other lesions of median nerve, bilateral upper limbs"
G5620,"Lesion of ulnar nerve, unspecified upper limb"
G5621,"Lesion of ulnar nerve, right upper limb"
G5622,"Lesion of ulnar nerve, left upper limb"
G5623,"Lesion of ulnar nerve, bilateral upper limbs"
G5630,"Lesion of radial nerve, unspecified upper limb"
G5631,"Lesion of radial nerve, right upper limb"
G5632,"Lesion of radial nerve, left upper limb"
G5633,"Lesion of radial nerve, bilateral upper limbs"
G5640,Causalgia of unspecified upper limb
G5641,Causalgia of right upper limb
G5642,Causalgia of left upper limb
G5643,Causalgia of bilateral upper limbs
G5680,Other specified mononeuropathies of unspecified upper limb
G5681,Other specified mononeuropathies of right upper limb
G5682,Other specified mononeuropathies of left upper limb
G5683,Other specified mononeuropathies of bilateral upper limbs
G5690,Unspecified mononeuropathy of unspecified upper limb
G5691,Unspecified mononeuropathy of right upper limb
G5692,Unspecified mononeuropathy of left upper limb
G5693,Unspecified mononeuropathy of bilateral upper limbs
G5700,"Lesion of sciatic nerve, unspecified lower limb"
G5701,"Lesion of sciatic nerve, right lower limb"
G5702,"Lesion of sciatic nerve, left lower limb"
G5703,"Lesion of sciatic nerve, bilateral lower limbs"
G5710,"Meralgia paresthetica, unspecified lower limb"
G5711,"Meralgia paresthetica, right lower limb"
G5712,"Meralgia paresthetica, left lower limb"
G5713,"Meralgia paresthetica, bilateral lower limbs"
G5720,"Lesion of femoral nerve, unspecified lower limb"
G5721,"Lesion of femoral nerve, right lower limb"
G5722,"Lesion of femoral nerve, left lower limb"
G5723,"Lesion of femoral nerve, bilateral lower limbs"
G5730,"Lesion of lateral popliteal nerve, unspecified lower limb"
G5731,"Lesion of lateral popliteal nerve, right lower limb"
G5732,"Lesion of lateral popliteal nerve, left lower limb"
G5733,"Lesion of lateral popliteal nerve, bilateral lower limbs"
G5740,"Lesion of medial popliteal nerve, unspecified lower limb"
G5741,"Lesion of medial popliteal nerve, right lower limb"
G5742,"Lesion of medial popliteal nerve, left lower limb"
G5743,"Lesion of medial popliteal nerve, bilateral lower limbs"
G5750,"Tarsal tunnel syndrome, unspecified lower limb"
G5751,"Tarsal tunnel syndrome, right lower limb"
G5752,"Tarsal tunnel syndrome, left lower limb"
G5753,"Tarsal tunnel syndrome, bilateral lower limbs"
G5760,"Lesion of plantar nerve, unspecified lower limb"
G5761,"Lesion of plantar nerve, right lower limb"
G5762,"Lesion of plantar nerve, left lower limb"
G5763,"Lesion of plantar nerve, bilateral lower limbs"
G5770,Causalgia of unspecified lower limb
G5771,Causalgia of right lower limb
G5772,Causalgia of left lower limb
G5773,Causalgia of bilateral lower limbs
G5780,Other specified mononeuropathies of unspecified lower limb
G5781,Other specified mononeuropathies of right lower limb
G5782,Other specified mononeuropathies of left lower limb
G5783,Other specified mononeuropathies of bilateral lower limbs
G5790,Unspecified mononeuropathy of unspecified lower limb
G5791,Unspecified mononeuropathy of right lower limb
G5792,Unspecified mononeuropathy of left lower limb
G5793,Unspecified mononeuropathy of bilateral lower limbs
G580,Intercostal neuropathy
G587,Mononeuritis multiplex
G588,Other specified mononeuropathies
G589,"Mononeuropathy, unspecified"
G59,Mononeuropathy in diseases classified elsewhere
G600,Hereditary motor and sensory neuropathy
G601,Refsum's disease
G602,Neuropathy in association with hereditary ataxia
G603,Idiopathic progressive neuropathy
G608,Other hereditary and idiopathic neuropathies
G609,"Hereditary and idiopathic neuropathy, unspecified"
G610,Guillain-Barre syndrome
G611,Serum neuropathy
G6181,Chronic inflammatory demyelinating polyneuritis
G6182,Multifocal motor neuropathy
G6189,Other inflammatory polyneuropathies
G619,"Inflammatory polyneuropathy, unspecified"
G620,Drug-induced polyneuropathy
G621,Alcoholic polyneuropathy
G622,Polyneuropathy due to other toxic agents
G6281,Critical illness polyneuropathy
G6282,Radiation-induced polyneuropathy
G6289,Other specified polyneuropathies
G629,"Polyneuropathy, unspecified"
G63,Polyneuropathy in diseases classified elsewhere
G64,Other disorders of peripheral nervous system
G650,Sequelae of Guillain-Barre syndrome
G651,Sequelae of other inflammatory polyneuropathy
G652,Sequelae of toxic polyneuropathy
G7000,Myasthenia gravis without (acute) exacerbation
G7001,Myasthenia gravis with (acute) exacerbation
G701,Toxic myoneural disorders
G702,Congenital and developmental myasthenia
G7080,"Lambert-Eaton syndrome, unspecified"
G7081,Lambert-Eaton syndrome in disease classified elsewhere
G7089,Other specified myoneural disorders
G709,"Myoneural disorder, unspecified"
G710,Muscular dystrophy
G7111,Myotonic muscular dystrophy
G7112,Myotonia congenita
G7113,Myotonic chondrodystrophy
G7114,Drug induced myotonia
G7119,Other specified myotonic disorders
G712,Congenital myopathies
G713,"Mitochondrial myopathy, not elsewhere classified"
G718,Other primary disorders of muscles
G719,"Primary disorder of muscle, unspecified"
G720,Drug-induced myopathy
G721,Alcoholic myopathy
G722,Myopathy due to other toxic agents
G723,Periodic paralysis
G7241,Inclusion body myositis [IBM]
G7249,"Oth inflammatory and immune myopathies, NEC"
G7281,Critical illness myopathy
G7289,Other specified myopathies
G729,"Myopathy, unspecified"
G731,Lambert-Eaton syndrome in neoplastic disease
G733,Myasthenic syndromes in other diseases classified elsewhere
G737,Myopathy in diseases classified elsewhere
G800,Spastic quadriplegic cerebral palsy
G801,Spastic diplegic cerebral palsy
G802,Spastic hemiplegic cerebral palsy
G803,Athetoid cerebral palsy
G804,Ataxic cerebral palsy
G808,Other cerebral palsy
G809,"Cerebral palsy, unspecified"
G8100,Flaccid hemiplegia affecting unspecified side
G8101,Flaccid hemiplegia affecting right dominant side
G8102,Flaccid hemiplegia affecting left dominant side
G8103,Flaccid hemiplegia affecting right nondominant side
G8104,Flaccid hemiplegia affecting left nondominant side
G8110,Spastic hemiplegia affecting unspecified side
G8111,Spastic hemiplegia affecting right dominant side
G8112,Spastic hemiplegia affecting left dominant side
G8113,Spastic hemiplegia affecting right nondominant side
G8114,Spastic hemiplegia affecting left nondominant side
G8190,"Hemiplegia, unspecified affecting unspecified side"
G8191,"Hemiplegia, unspecified affecting right dominant side"
G8192,"Hemiplegia, unspecified affecting left dominant side"
G8193,"Hemiplegia, unspecified affecting right nondominant side"
G8194,"Hemiplegia, unspecified affecting left nondominant side"
G8220,"Paraplegia, unspecified"
G8221,"Paraplegia, complete"
G8222,"Paraplegia, incomplete"
G8250,"Quadriplegia, unspecified"
G8251,"Quadriplegia, C1-C4 complete"
G8252,"Quadriplegia, C1-C4 incomplete"
G8253,"Quadriplegia, C5-C7 complete"
G8254,"Quadriplegia, C5-C7 incomplete"
G830,Diplegia of upper limbs
G8310,Monoplegia of lower limb affecting unspecified side
G8311,Monoplegia of lower limb affecting right dominant side
G8312,Monoplegia of lower limb affecting left dominant side
G8313,Monoplegia of lower limb affecting right nondominant side
G8314,Monoplegia of lower limb affecting left nondominant side
G8320,Monoplegia of upper limb affecting unspecified side
G8321,Monoplegia of upper limb affecting right dominant side
G8322,Monoplegia of upper limb affecting left dominant side
G8323,Monoplegia of upper limb affecting right nondominant side
G8324,Monoplegia of upper limb affecting left nondominant side
G8330,"Monoplegia, unspecified affecting unspecified side"
G8331,"Monoplegia, unspecified affecting right dominant side"
G8332,"Monoplegia, unspecified affecting left dominant side"
G8333,"Monoplegia, unspecified affecting right nondominant side"
G8334,"Monoplegia, unspecified affecting left nondominant side"
G834,Cauda equina syndrome
G835,Locked-in state
G8381,Brown-Sequard syndrome
G8382,Anterior cord syndrome
G8383,Posterior cord syndrome
G8384,Todd's paralysis (postepileptic)
G8389,Other specified paralytic syndromes
G839,"Paralytic syndrome, unspecified"
G890,Central pain syndrome
G8911,Acute pain due to trauma
G8912,Acute post-thoracotomy pain
G8918,Other acute postprocedural pain
G8921,Chronic pain due to trauma
G8922,Chronic post-thoracotomy pain
G8928,Other chronic postprocedural pain
G8929,Other chronic pain
G893,Neoplasm related pain (acute) (chronic)
G894,Chronic pain syndrome
G9001,Carotid sinus syncope
G9009,Other idiopathic peripheral autonomic neuropathy
G901,Familial dysautonomia [Riley-Day]
G902,Horner's syndrome
G903,Multi-system degeneration of the autonomic nervous system
G904,Autonomic dysreflexia
G9050,"Complex regional pain syndrome I, unspecified"
G90511,Complex regional pain syndrome I of right upper limb
G90512,Complex regional pain syndrome I of left upper limb
G90513,"Complex regional pain syndrome I of upper limb, bilateral"
G90519,Complex regional pain syndrome I of unspecified upper limb
G90521,Complex regional pain syndrome I of right lower limb
G90522,Complex regional pain syndrome I of left lower limb
G90523,"Complex regional pain syndrome I of lower limb, bilateral"
G90529,Complex regional pain syndrome I of unspecified lower limb
G9059,Complex regional pain syndrome I of other specified site
G908,Other disorders of autonomic nervous system
G909,"Disorder of the autonomic nervous system, unspecified"
G910,Communicating hydrocephalus
G911,Obstructive hydrocephalus
G912,(Idiopathic) normal pressure hydrocephalus
G913,"Post-traumatic hydrocephalus, unspecified"
G914,Hydrocephalus in diseases classified elsewhere
G918,Other hydrocephalus
G919,"Hydrocephalus, unspecified"
G92,Toxic encephalopathy
G930,Cerebral cysts
G931,"Anoxic brain damage, not elsewhere classified"
G932,Benign intracranial hypertension
G933,Postviral fatigue syndrome
G9340,"Encephalopathy, unspecified"
G9341,Metabolic encephalopathy
G9349,Other encephalopathy
G935,Compression of brain
G936,Cerebral edema
G937,Reye's syndrome
G9381,Temporal sclerosis
G9382,Brain death
G9389,Other specified disorders of brain
G939,"Disorder of brain, unspecified"
G94,Other disorders of brain in diseases classified elsewhere
G950,Syringomyelia and syringobulbia
G9511,Acute infarction of spinal cord (embolic) (nonembolic)
G9519,Other vascular myelopathies
G9520,Unspecified cord compression
G9529,Other cord compression
G9581,Conus medullaris syndrome
G9589,Other specified diseases of spinal cord
G959,"Disease of spinal cord, unspecified"
G960,Cerebrospinal fluid leak
G9611,Dural tear
G9612,Meningeal adhesions (cerebral) (spinal)
G9619,"Other disorders of meninges, not elsewhere classified"
G968,Other specified disorders of central nervous system
G969,"Disorder of central nervous system, unspecified"
G970,Cerebrospinal fluid leak from spinal puncture
G971,Other reaction to spinal and lumbar puncture
G972,Intracranial hypotension following ventricular shunting
G9731,Intraop hemor/hemtom of a nervous sys org comp nrv sys proc
G9732,Intraop hemor/hemtom of a nervous sys org comp oth procedure
G9741,Accidental puncture or laceration of dura during a procedure
G9748,Acc pnctr & lac of nervous sys org during a nervous sys proc
G9749,Acc pnctr & lac of nervous sys org during oth procedure
G9751,Postproc hemor of a nervous sys org fol a nervous sys proc
G9752,Postproc hemor of a nervous sys org fol other procedure
G9761,Postp hematoma of a nervous sys org fol a nervous sys proc
G9762,Postproc hematoma of a nervous sys org fol other procedure
G9763,Postproc seroma of a nervous sys org fol a nervous sys proc
G9764,Postproc seroma of a nervous sys org fol other procedure
